sku_id,sku_name,before_discount,after_discount,category
P100134,akl-GFSU1265-M,347710.00,302470.00,"Women Fashion"
P100314,Surmawala_PEL-PRAS-2500-Refrigerator-Grey,1747830.00,1223452.00,Appliances
P100667,Progressive_9781742488103,8410.00,7192.00,Books
P100885,"Loreal_Revitalift Night Cream - 50 ml",79692.00,53360.00,"Beauty & Grooming"
P101081,HOS-m_PR1MM100,365400.00,277704.00,"Beauty & Grooming"
P101786,sputnik_4766/2-8,92800.00,60320.00,"Women Fashion"
P102648,LC_3349668532902,446600.00,330484.00,"Beauty & Grooming"
P102776,"RMSON_PA3251F MW WH",1420942.00,994642.00,"Men Fashion"
P102780,ALK_FC-13-17-A131140054,493000.00,350030.00,"Women Fashion"
P102799,stinnos_A118,156542.00,137750.00,"Kids & Baby"
P103718,"BParcel_DIGITAL to ANALOG-BLACK",115942.00,85782.00,Computing
P103962,"Infinix Hot 4 Hazir-Gold-Rawalpindi",730742.00,628430.00,"Mobiles & Tablets"
P104151,BP_PS31340,23142.00,14094.00,"School & Education"
P104316,nabila_Nvite-fair-skin,261000.00,227070.00,"Beauty & Grooming"
P104318,"Value Shop_Yellow-Fidget-Spinner",22040.00,16704.00,"Kids & Baby"
P105825,PNG_Pampers_10003450-Hazir,125280.00,81432.00,Superstore
P106653,yankee_5038580000771,148480.00,130616.00,"Home & Living"
P106821,SNU_NS16E2-07,690200.00,545258.00,"Women Fashion"
P107333,GA_CT-211-136128,377000.00,331760.00,"Women Fashion"
P107804,"aw_CONSTRUCTION FOAM-700ml",43790.00,28014.00,Others
P108199,smsm_370111,82940.00,62176.00,Superstore
P108274,PMA_9789810117269,43500.00,29580.00,"School & Education"
P108360,Zia_HS3,87000.00,55680.00,Books
P108938,RM_Sony-VPL-EW235,5104000.00,4134240.00,Entertainment
P109167,Bparcel_8460P,120002.00,85144.00,Computing
P109313,"lalqila_Chicken Karahi-550gm",33060.00,22794.00,Superstore
P109705,Zia_EN14,34800.00,26100.00,Books
P110320,stinnos_A040,67280.00,53824.00,"Kids & Baby"
P110552,fitn_2730442,348000.00,229680.00,"Health & Sports"
P110969,"Relaxer_LSP 01 A-Green",342200.00,246384.00,"Home & Living"
P111337,fitn_810390023974,203000.00,129920.00,"Health & Sports"
P111456,Tmall_MM-DR-MK,115942.00,84622.00,"Home & Living"
P112319,"R&I_Generator 2.5KVG",2047400.00,1842660.00,Appliances
P112525,"Fmate_Daal Maash",12702.00,9222.00,Superstore
P113237,Samsung_49inchesK5300,5103942.00,3930022.00,Entertainment
P113266,qzs_27360-Large,52142.00,44312.00,Others
P113318,Senorita_KAK-739-SGN-22,70760.00,52316.00,"Kids & Baby"
P113376,liberty_9781445448015,34510.00,24128.00,Books
P113625,PlanetX_PX-9001,243600.00,199752.00,"Kids & Baby"
